City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
farsund,0,NO,1519941794,100,58.09,6.8,19.41,19.19
upernavik,88,GL,1519941854,87,72.79,-56.15,23.14,9.13
kahului,40,US,1519937760,61,20.89,-156.47,80.6,14.99
amderma,40,US,1519937760,61,20.89,-156.47,80.6,14.99
okha,64,RU,1519941855,80,53.59,142.95,3.97,13.04
attawapiskat,64,RU,1519941855,80,53.59,142.95,3.97,13.04
kapaa,75,US,1519939860,83,22.08,-159.32,77.0,9.17
curaca,32,BR,1519941857,50,-8.99,-39.91,85.56,5.32
dakoro,0,NE,1519941857,17,14.51,6.76,76.38,10.8
faanui,68,PF,1519941857,99,-16.48,-151.75,82.0,17.52
kyrksaeterora,0,NO,1519939200,57,63.29,9.09,23.0,18.34
katsuura,20,JP,1519939200,60,33.93,134.5,39.2,8.05
labuhan,92,ID,1519941782,96,-2.54,115.51,72.6,1.97
qaanaaq,80,GL,1519941860,93,77.48,-69.36,13.56,8.46
busselton,20,AU,1519941860,100,-33.64,115.35,61.35,14.5
taolanaro,20,AU,1519941860,100,-33.64,115.35,61.35,14.5
rikitea,80,PF,1519941861,98,-23.12,-134.97,81.33,19.08
mahroni,0,IN,1519941845,60,24.59,78.73,66.57,2.75
inta,24,RU,1519941862,66,66.04,60.13,8.25,5.21
vaini,0,IN,1519941863,85,15.34,74.49,61.26,1.41
iqaluit,75,CA,1519938000,84,63.75,-68.52,5.0,3.53
atuona,8,PF,1519941864,99,-9.8,-139.03,81.37,17.74
hobart,40,AU,1519939800,77,-42.88,147.33,59.0,8.05
santa marta,20,CO,1519938000,62,11.24,-74.21,86.0,18.34
ngukurr,20,CO,1519938000,62,11.24,-74.21,86.0,18.34
punta arenas,0,CL,1519938000,50,-53.16,-70.91,57.2,26.4
sandpoint,90,US,1519940100,76,48.28,-116.55,37.4,11.41
panguna,80,PG,1519941866,92,-6.32,155.48,77.73,4.32
severomuysk,24,RU,1519941866,59,56.17,113.57,-23.89,2.64
new norfolk,40,AU,1519939800,77,-42.78,147.06,59.0,8.05
lebu,24,ET,1519941868,60,8.96,38.73,50.05,2.64
ust-ishim,12,RU,1519941868,77,57.69,71.17,2.31,7.23
chibuto,0,MZ,1519941868,88,-24.69,33.53,71.61,8.79
carnarvon,0,ZA,1519941869,39,-30.97,22.13,61.08,7.0
hermanus,32,ZA,1519941869,80,-34.42,19.24,62.52,7.78
umm lajj,0,SA,1519941870,100,25.02,37.27,66.57,10.47
esil,48,KZ,1519941871,71,51.96,66.41,-6.11,7.23
provideniya,90,RU,1519939800,92,64.42,-173.23,30.2,11.18
vista hermosa,0,MX,1519941871,27,17.8,-97.76,84.12,1.86
tuktoyaktuk,5,CA,1519938000,74,69.44,-133.03,-22.01,9.17
mataura,88,NZ,1519941872,98,-46.19,168.86,63.1,4.43
saint-augustin,92,FR,1519939800,87,44.83,-0.61,51.8,16.11
kloulklubed,75,PW,1519937460,83,7.04,134.26,78.8,5.82
port macquarie,100,AU,1519938000,82,-31.43,152.91,66.2,4.7
port alfred,48,ZA,1519941874,89,-33.59,26.89,68.55,10.69
